13:26:48 - Total People: 0, Total Cars: 0count:0
13:26:58 - Total People: 0, Total Cars: 0count:0
13:31:14 - Total People: 0, Total Cars: 0count:0
13:31:24 - Total People: 0, Total Cars: 0count:0
13:31:34 - Total People: 0, Total Cars: 0count:0
13:31:44 - Total People: 0, Total Cars: 0count:0
13:31:54 - Total People: 0, Total Cars: 0count:0
13:32:04 - Total People: 0, Total Cars: 0count:0
13:32:14 - Total People: 0, Total Cars: 0count:0
13:32:24 - Total People: 0, Total Cars: 0count:0
13:32:34 - Total People: 0, Total Cars: 0count:0
13:32:44 - Total People: 0, Total Cars: 0count:0
13:32:54 - Total People: 0, Total Cars: 0count:0
13:33:04 - Total People: 0, Total Cars: 0count:0
13:33:14 - Total People: 0, Total Cars: 0count:0
13:33:25 - Total People: 0, Total Cars: 0count:0
13:33:35 - Total People: 0, Total Cars: 0count:0
13:33:45 - Total People: 0, Total Cars: 0count:0
13:33:55 - Total People: 0, Total Cars: 0count:0
13:34:05 - Total People: 0, Total Cars: 0count:0
13:34:15 - Total People: 0, Total Cars: 0count:0
13:34:25 - Total People: 0, Total Cars: 0count:0
13:34:35 - Total People: 0, Total Cars: 0count:0
13:34:45 - Total People: 0, Total Cars: 0count:0
13:34:55 - Total People: 0, Total Cars: 0count:0
13:35:05 - Total People: 0, Total Cars: 0count:0
13:35:15 - Total People: 0, Total Cars: 0count:0
13:35:25 - Total People: 0, Total Cars: 0count:0
13:35:35 - Total People: 0, Total Cars: 0count:0
13:37:45 - Total People: 0, Total Cars: 0count:0
13:37:55 - Total People: 0, Total Cars: 0count:0
13:38:05 - Total People: 0, Total Cars: 0count:0
13:38:15 - Total People: 0, Total Cars: 0count:0
13:38:25 - Total People: 0, Total Cars: 0count:0
13:38:35 - Total People: 0, Total Cars: 0count:0
13:38:45 - Total People: 0, Total Cars: 0count:0
13:38:56 - Total People: 0, Total Cars: 0count:0
13:39:06 - Total People: 0, Total Cars: 0count:0
13:39:16 - Total People: 0, Total Cars: 0count:0
13:39:26 - Total People: 0, Total Cars: 0count:0
13:39:36 - Total People: 0, Total Cars: 0count:0
13:41:37 - Total People: 0, Total Cars: 0count:0
13:41:47 - Total People: 0, Total Cars: 0count:0
13:45:46 - Total People: 0, Total Cars: 0count:0
13:45:56 - Total People: 0, Total Cars: 0count:0
13:46:07 - Total People: 0, Total Cars: 0count:0
13:46:17 - Total People: 0, Total Cars: 0count:0
13:46:27 - Total People: 0, Total Cars: 0count:0
13:46:37 - Total People: 0, Total Cars: 0count:0
13:46:47 - Total People: 0, Total Cars: 0count:0
